score,player,time
51,xxx,2019-10-22 22:41:45.137543
37,xxx,2019-10-22 22:41:51.804220
13,xxx,2019-10-22 22:42:52.920388
18,xxx,2019-10-22 22:47:06.892796
45,xxx,2019-10-22 22:48:21.351373
63,xxx,2019-10-22 22:49:35.522891
314,xxx,2019-10-22 22:51:03.609777
137,xxx,2019-10-22 23:00:19.816771
63,xxx,2019-10-22 23:01:19.622553
101,xxx,2019-10-22 23:02:45.451887
93,xxx,2019-10-22 23:14:36.840175
509,xxx,2019-10-22 23:17:38.713197
101,xxx,2019-10-22 23:22:26.339903
176,xxx,2019-10-22 23:28:00.549814
406,xxx,2019-10-22 23:38:08.705001
252,xxx,2019-10-22 23:39:28.582942
51,xxx,2019-10-22 23:55:00.655590
-5,xxx,2019-10-23 00:02:31.246226
0,xxx,2019-10-23 00:03:28.018817
191,xxx,2019-10-23 00:04:34.720169
315,xxx,2019-10-23 00:05:10.709166
416,xxx,2019-10-23 00:07:08.609703
6,xxx,2019-10-23 00:07:30.876187
52,xxx,2019-10-23 00:08:19.169681
89,xxx,2019-10-23 00:10:26.058279
197,xxx,2019-10-24 20:28:34.677036
7,xxx,2019-10-24 20:43:25.470392
51,xxx,2019-10-24 20:59:01.823812
328,xxx,2019-10-24 21:02:41.535802
118,xxx,2019-10-24 21:07:08.424298
608,xxx,2019-10-24 21:11:58.948334
942,xxx,2019-10-24 21:26:38.442322
898,xxx,2019-10-24 21:31:48.325205
914,xxx,2019-10-24 21:34:24.139230
926,xxx,2019-10-24 21:43:22.078686
725,xxx,2019-10-24 21:44:27.059754
898,xxx,2019-10-24 21:51:28.974321
781,xxx,2019-10-24 21:58:15.172871
912,xxx,2019-10-24 21:59:46.691086
725,xxx,2019-10-24 22:00:46.861904
-2,xxx,2019-10-24 22:04:54.752446
6,xxx,2019-10-24 22:23:34.712772
367,xxx,2019-10-24 22:24:11.294718
306,xxx,2019-10-24 22:25:05.381880
190,xxx,2019-10-24 22:25:40.621065
599,xxx,2019-10-24 22:27:52.815611
379,xxx,2019-10-24 22:29:18.970751
684,xxx,2019-10-24 22:30:43.576731
996,xxx,2019-10-24 22:32:58.046990
354,xxx,2019-10-24 22:33:58.592985
765,xxx,2019-10-24 22:35:14.057300
992,xxx,2019-10-24 22:37:35.106102
518,xxx,2019-10-24 22:40:44.533181
1334,xxx,2019-10-24 22:43:15.778560
2034,xxx,2019-10-24 22:46:33.399658
1925,xxx,2021-12-21 11:09:11.777524
